time,sale
1483228800000,21.50186478
1483236000000,16.28240703
1483243200000,15.31500196
1483250400000,18.11293458
1483257600000,16.48847164
1483264800000,21.46529422
1483315200000,21.45852622
1483322400000,16.95629715
1483329600000,16.51034141
1483336800000,24.58527075
1483344000000,24.28918914
1483351200000,15.83252912
1483401600000,17.76140114
1483408800000,21.63831276
1483416000000,15.32445586
1483423200000,19.98642887
1483430400000,17.12466438
1483437600000,23.92088658
1483488000000,24.99432466
1483495200000,22.63797929
1483502400000,23.14483676
1483509600000,19.40058419
1483516800000,19.75630581
1483524000000,15.77725479
1483574400000,18.82706521
1483581600000,20.7585557
1483588800000,19.55903721
1483596000000,20.0708546
1483603200000,16.65886465
1483610400000,18.19853481
1483660800000,18.26347894
1483668000000,16.72562989
1483675200000,19.81670883
1483682400000,24.38481306
1483689600000,17.72634425
1483696800000,19.20429502
1483747200000,18.64572319
1483754400000,22.20161702
1483761600000,20.90861667
1483768800000,16.7988444
1483776000000,18.19037633
1483783200000,23.41890094
1483833600000,20.59271196
1483840800000,15.24152301
1483848000000,20.80601365
1483855200000,17.80466174
1483862400000,18.07504368
1483869600000,21.76942761
1483920000000,17.69553305
1483927200000,17.7414516
1483934400000,20.54645858
1483941600000,23.35764275
1483948800000,24.59245605
1483956000000,22.98484418
1484006400000,16.78120546
1484013600000,17.19714527
1484020800000,19.75109784
1484028000000,23.84419053
1484035200000,18.22580902
1484042400000,21.91753785
1484092800000,16.90649881
1484100000000,18.77107638
1484107200000,16.61241939
1484114400000,16.54100069
1484121600000,21.93122441
1484128800000,24.10847155
1484179200000,19.81691659
1484186400000,21.70267919
1484193600000,19.54310142
1484200800000,19.58364007
1484208000000,24.84024497
1484215200000,24.28405268
1484265600000,15.60740921
1484272800000,23.02045854
1484280000000,20.51216296
1484287200000,22.27965736
1484294400000,21.32899463
1484301600000,21.70186922
1484352000000,22.79979088
1484359200000,21.45386558
1484366400000,17.94423601
1484373600000,15.8307651
1484380800000,22.44904774
1484388000000,19.14325135
1484438400000,24.39973626
1484445600000,21.61769901
1484452800000,18.09526668
1484460000000,23.42139972
1484467200000,15.94406994
1484474400000,17.66636383
1484524800000,17.94998335
1484532000000,17.76684549
1484539200000,18.5608744
1484546400000,18.53289095
1484553600000,19.70409699
1484560800000,22.361157
1484611200000,22.73601609
1484618400000,23.60257894
1484625600000,21.38330366
1484632800000,23.19300626
1484640000000,20.17852725
1484647200000,17.75774563
1484697600000,15.54990499
1484704800000,19.2553948
1484712000000,18.80445149
1484719200000,22.70297627
1484726400000,15.46580199
1484733600000,16.2970361
1484784000000,24.54469682
1484791200000,24.26911975
1484798400000,24.61468187
1484805600000,22.82521902
1484812800000,23.35244611
1484820000000,21.53495767
1484870400000,20.32711102
1484877600000,20.35630935
1484884800000,23.16262491
1484892000000,18.18555564
1484899200000,18.16045383
1484906400000,15.2713695
1484956800000,23.49538388
1484964000000,15.16887922
1484971200000,16.15623297
1484978400000,24.05820987
1484985600000,19.89750566
1484992800000,16.4173384
1485043200000,17.13075737
1485050400000,17.20751062
1485057600000,21.48009491
1485064800000,16.16850041
1485072000000,22.75053959
1485079200000,19.57947847
1485129600000,22.43786867
1485136800000,17.24929113
1485144000000,15.30223744
1485151200000,16.66883927
1485158400000,22.62481498
1485165600000,24.58058006
1485216000000,21.78754625
